Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Payment_Method,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Review_Rating_Categories
982,27,Male,Belt,Accessories,42,Maryland,M,Silver,Spring,3.5,Yes,Debit Card,Next Day Air,Yes,Yes,47,Credit Card,Quarterly,Good
983,35,Male,Coat,Outerwear,62,Texas,S,Red,Summer,3.200000047683716,Yes,Venmo,Standard,Yes,Yes,37,PayPal,Monthly,Good
984,24,Male,Hat,Accessories,45,New Mexico,L,Indigo,Winter,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,40,Venmo,Bi-Weekly,Good
985,26,Male,Shoes,Footwear,78,Utah,M,Green,Summer,3.4000000953674316,Yes,Cash,Free Shipping,Yes,Yes,8,Credit Card,Bi-Weekly,Good
986,32,Male,Handbag,Accessories,80,West Virginia,M,Gray,Fall,5.0,Yes,Credit Card,Express,Yes,Yes,12,Bank Transfer,Annually,Very_Good
987,54,Male,Scarf,Accessories,96,Connecticut,S,Peach,Spring,4.5,Yes,Credit Card,Store Pickup,Yes,Yes,36,Bank Transfer,Monthly,Very_Good
988,62,Male,Handbag,Accessories,47,West Virginia,M,Charcoal,Summer,2.799999952316284,Yes,PayPal,Express,Yes,Yes,48,PayPal,Weekly,Bad
989,50,Male,Pants,Clothing,84,Ohio,M,Orange,Winter,4.900000095367432,Yes,Venmo,2-Day Shipping,Yes,Yes,47,PayPal,Fortnightly,Very_Good
990,70,Male,Shoes,Footwear,31,Texas,M,Beige,Spring,3.0999999046325684,Yes,Bank Transfer,Store Pickup,Yes,Yes,2,Bank Transfer,Monthly,Bad
991,48,Male,Sunglasses,Accessories,63,Washington,S,Yellow,Spring,4.800000190734863,Yes,PayPal,Store Pickup,Yes,Yes,24,Cash,Weekly,Very_Good
992,20,Male,Shorts,Clothing,97,Wisconsin,XL,White,Spring,2.700000047683716,Yes,Debit Card,Standard,Yes,Yes,40,Bank Transfer,Bi-Weekly,Bad
993,46,Male,Jacket,Outerwear,99,Louisiana,M,Gray,Winter,4.599999904632568,Yes,Credit Card,Express,Yes,Yes,50,Debit Card,Weekly,Very_Good
994,51,Male,Sandals,Footwear,90,Iowa,M,Peach,Winter,4.400000095367432,Yes,Cash,Store Pickup,Yes,Yes,25,Cash,Weekly,Good
995,53,Male,Shoes,Footwear,68,New York,L,Violet,Fall,3.200000047683716,Yes,PayPal,Express,Yes,Yes,20,Debit Card,Monthly,Good
996,44,Male,Jewelry,Accessories,80,Idaho,M,Magenta,Spring,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,10,Venmo,Weekly,Bad
997,29,Male,Sandals,Footwear,91,Delaware,L,Maroon,Summer,4.900000095367432,Yes,Bank Transfer,Standard,Yes,Yes,32,Bank Transfer,Quarterly,Very_Good
998,64,Male,Pants,Clothing,30,Kentucky,M,Cyan,Spring,3.5999999046325684,Yes,Debit Card,Express,Yes,Yes,31,Cash,Fortnightly,Good
999,51,Male,Shoes,Footwear,90,Connecticut,M,White,Spring,3.799999952316284,Yes,Venmo,Next Day Air,Yes,Yes,48,Bank Transfer,Bi-Weekly,Good
1000,50,Male,Socks,Clothing,28,New Mexico,L,Brown,Spring,2.9000000953674316,Yes,Venmo,Standard,Yes,Yes,23,Debit Card,Monthly,Bad
1001,43,Male,Socks,Clothing,46,Georgia,M,Red,Winter,3.9000000953674316,Yes,Credit Card,Express,Yes,Yes,1,Bank Transfer,Bi-Weekly,Good
1002,61,Male,Dress,Clothing,60,Washington,M,Orange,Fall,3.5999999046325684,Yes,Credit Card,Standard,Yes,Yes,4,Debit Card,Fortnightly,Good
1003,55,Male,Shoes,Footwear,59,North Dakota,M,White,Spring,3.5,Yes,Credit Card,Store Pickup,Yes,Yes,3,Bank Transfer,Bi-Weekly,Good
1004,56,Male,Hat,Accessories,68,Ohio,M,Green,Fall,4.0,Yes,Cash,Store Pickup,Yes,Yes,3,Cash,Bi-Weekly,Good
1005,33,Male,Backpack,Accessories,79,Tennessee,M,Black,Summer,4.800000190734863,Yes,Cash,2-Day Shipping,Yes,Yes,44,Cash,Annually,Very_Good
1006,43,Male,Backpack,Accessories,94,New York,M,Gold,Winter,3.9000000953674316,Yes,Credit Card,Store Pickup,Yes,Yes,5,Debit Card,Bi-Weekly,Good
1007,21,Male,Pants,Clothing,83,Michigan,S,Lavender,Summer,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,50,Venmo,Quarterly,Very_Good
1008,58,Male,Gloves,Accessories,62,Georgia,XL,Turquoise,Spring,4.800000190734863,Yes,Venmo,Standard,Yes,Yes,2,Credit Card,Annually,Very_Good
1009,41,Male,Scarf,Accessories,85,New Mexico,M,Pink,Spring,2.5999999046325684,Yes,Cash,Store Pickup,Yes,Yes,29,PayPal,Annually,Bad
1010,39,Male,Hoodie,Clothing,30,Louisiana,M,Silver,Summer,3.0999999046325684,Yes,Bank Transfer,Express,Yes,Yes,11,Venmo,Annually,Bad
1011,54,Male,Jeans,Clothing,24,South Dakota,XL,Gray,Spring,4.699999809265137,Yes,PayPal,2-Day Shipping,Yes,Yes,37,Credit Card,Fortnightly,Very_Good
1012,43,Male,Backpack,Accessories,25,Montana,L,Indigo,Spring,2.9000000953674316,Yes,PayPal,Next Day Air,Yes,Yes,32,Debit Card,Fortnightly,Bad
1013,28,Male,Sandals,Footwear,37,New Mexico,L,Teal,Summer,3.799999952316284,Yes,Cash,Express,Yes,Yes,27,Credit Card,Annually,Good
1014,59,Male,Belt,Accessories,69,South Carolina,XL,Green,Summer,3.799999952316284,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Venmo,Bi-Weekly,Good
1015,28,Male,Shoes,Footwear,97,Ohio,M,Violet,Summer,3.0,Yes,Bank Transfer,Standard,Yes,Yes,36,Debit Card,Fortnightly,Bad
1016,68,Male,Gloves,Accessories,24,North Carolina,M,Cyan,Summer,4.099999904632568,Yes,Debit Card,Standard,Yes,Yes,34,Cash,Weekly,Good
1017,20,Male,Belt,Accessories,30,Idaho,XL,Blue,Summer,3.4000000953674316,Yes,Cash,Express,Yes,Yes,15,Bank Transfer,Every 3 Months,Good
1019,50,Male,Dress,Clothing,70,Georgia,XL,Charcoal,Spring,4.900000095367432,Yes,Credit Card,Next Day Air,Yes,Yes,46,Cash,Weekly,Very_Good
1020,32,Male,Shirt,Clothing,76,Kentucky,S,Beige,Winter,2.799999952316284,Yes,Debit Card,Standard,Yes,Yes,33,Venmo,Bi-Weekly,Bad
1021,24,Male,Scarf,Accessories,95,Delaware,M,Black,Fall,4.5,Yes,Bank Transfer,Express,Yes,Yes,41,Debit Card,Annually,Very_Good
1022,55,Male,Coat,Outerwear,51,Massachusetts,S,Lavender,Winter,4.900000095367432,Yes,Credit Card,2-Day Shipping,Yes,Yes,39,PayPal,Weekly,Very_Good
1023,61,Male,Handbag,Accessories,41,Nebraska,M,Lavender,Winter,4.900000095367432,Yes,Cash,Store Pickup,Yes,Yes,7,Cash,Annually,Very_Good
1024,61,Male,Sunglasses,Accessories,71,Maine,S,Turquoise,Winter,3.5,Yes,Bank Transfer,Free Shipping,Yes,Yes,29,Bank Transfer,Every 3 Months,Good
1025,28,Male,T-shirt,Clothing,66,Pennsylvania,M,Purple,Summer,3.5,Yes,Debit Card,Free Shipping,Yes,Yes,18,Venmo,Quarterly,Good
1026,60,Male,Shirt,Clothing,84,Nebraska,M,Olive,Winter,4.900000095367432,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,Credit Card,Annually,Very_Good
1027,49,Male,Handbag,Accessories,95,Virginia,L,Turquoise,Winter,3.0,Yes,Venmo,Express,Yes,Yes,39,PayPal,Bi-Weekly,Bad
1028,33,Male,Jewelry,Accessories,90,Ohio,L,Teal,Summer,2.799999952316284,Yes,Cash,Next Day Air,Yes,Yes,11,Cash,Monthly,Bad
1029,45,Male,Hoodie,Clothing,36,Nebraska,S,Lavender,Summer,3.700000047683716,Yes,Venmo,Standard,Yes,Yes,4,Cash,Fortnightly,Good
1030,29,Male,Gloves,Accessories,22,Ohio,M,Purple,Spring,3.5999999046325684,Yes,Credit Card,2-Day Shipping,Yes,Yes,33,Venmo,Bi-Weekly,Good
1031,58,Male,Coat,Outerwear,89,Kentucky,L,Blue,Winter,3.299999952316284,Yes,Credit Card,Next Day Air,Yes,Yes,37,Debit Card,Quarterly,Good
1032,22,Male,Sandals,Footwear,50,Tennessee,M,Teal,Spring,3.4000000953674316,Yes,Cash,Free Shipping,Yes,Yes,32,Cash,Quarterly,Good
1033,55,Male,Boots,Footwear,36,Maine,M,Lavender,Fall,4.0,Yes,Bank Transfer,Free Shipping,Yes,Yes,44,Credit Card,Quarterly,Good
1034,19,Male,Pants,Clothing,52,Montana,S,Silver,Spring,4.599999904632568,Yes,Credit Card,Free Shipping,Yes,Yes,41,Bank Transfer,Quarterly,Very_Good
1035,68,Male,Socks,Clothing,29,Maryland,M,Olive,Fall,4.199999809265137,Yes,Venmo,Next Day Air,Yes,Yes,44,Bank Transfer,Weekly,Good
1036,61,Male,Blouse,Clothing,89,Georgia,M,Brown,Fall,2.799999952316284,Yes,Venmo,Express,Yes,Yes,32,Venmo,Annually,Bad
1037,68,Male,Handbag,Accessories,47,Hawaii,M,Yellow,Fall,3.700000047683716,Yes,Credit Card,2-Day Shipping,Yes,Yes,13,Bank Transfer,Monthly,Good
1038,52,Male,Jewelry,Accessories,25,Rhode Island,XL,Brown,Spring,3.4000000953674316,Yes,Bank Transfer,Standard,Yes,Yes,48,Debit Card,Quarterly,Good
1039,41,Male,Pants,Clothing,74,Nebraska,XL,Cyan,Fall,3.0,Yes,Bank Transfer,Express,Yes,Yes,3,Bank Transfer,Weekly,Bad
1040,29,Male,Belt,Accessories,46,Michigan,M,Magenta,Fall,4.800000190734863,Yes,PayPal,Standard,Yes,Yes,39,Venmo,Monthly,Very_Good
1041,68,Male,Jeans,Clothing,22,North Carolina,S,Magenta,Fall,4.0,Yes,Venmo,Next Day Air,Yes,Yes,7,Cash,Fortnightly,Good
1042,36,Male,Shirt,Clothing,25,Minnesota,M,Orange,Summer,4.900000095367432,Yes,Venmo,Next Day Air,Yes,Yes,11,Cash,Fortnightly,Very_Good
1043,55,Male,Belt,Accessories,80,Maryland,M,Maroon,Spring,4.900000095367432,Yes,Venmo,Next Day Air,Yes,Yes,47,Credit Card,Weekly,Very_Good
1044,28,Male,Jeans,Clothing,76,Hawaii,M,Green,Spring,3.299999952316284,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,28,Debit Card,Fortnightly,Good
1045,39,Male,Jeans,Clothing,30,Oregon,L,Teal,Summer,4.400000095367432,Yes,Credit Card,Next Day Air,Yes,Yes,17,Bank Transfer,Every 3 Months,Good
1046,54,Male,Sweater,Clothing,79,New Mexico,L,Black,Fall,3.5,Yes,Cash,2-Day Shipping,Yes,Yes,11,PayPal,Bi-Weekly,Good
1047,40,Male,Sneakers,Footwear,22,Illinois,M,Magenta,Winter,4.199999809265137,Yes,Credit Card,Standard,Yes,Yes,12,Venmo,Annually,Good
1048,31,Male,Socks,Clothing,36,Utah,S,Olive,Fall,4.199999809265137,Yes,Debit Card,Standard,Yes,Yes,7,Credit Card,Fortnightly,Good
1049,30,Male,Socks,Clothing,77,Maine,L,Yellow,Fall,2.700000047683716,Yes,Cash,Standard,Yes,Yes,19,Venmo,Fortnightly,Bad
1050,45,Male,Sunglasses,Accessories,33,Virginia,S,Purple,Fall,2.799999952316284,Yes,Credit Card,Store Pickup,Yes,Yes,24,Cash,Quarterly,Bad
1051,48,Male,Sneakers,Footwear,64,Florida,M,Beige,Winter,3.799999952316284,Yes,Credit Card,Next Day Air,Yes,Yes,19,Venmo,Monthly,Good
1052,45,Male,Socks,Clothing,53,Ohio,M,Indigo,Fall,2.5999999046325684,Yes,PayPal,Free Shipping,Yes,Yes,39,PayPal,Annually,Bad
1053,60,Male,Shoes,Footwear,36,Virginia,XL,Pink,Fall,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,1,Credit Card,Fortnightly,Bad
1054,59,Male,Blouse,Clothing,70,Kansas,M,Blue,Spring,3.299999952316284,No,Cash,2-Day Shipping,Yes,Yes,10,Debit Card,Bi-Weekly,Good
1055,18,Male,Shorts,Clothing,96,Arkansas,L,Cyan,Winter,4.900000095367432,No,Debit Card,Express,Yes,Yes,48,PayPal,Quarterly,Very_Good
1056,70,Male,Jacket,Outerwear,27,Massachusetts,M,Orange,Spring,3.299999952316284,No,PayPal,Next Day Air,Yes,Yes,24,Debit Card,Annually,Good
1057,20,Male,Sweater,Clothing,64,Idaho,L,Black,Winter,2.9000000953674316,No,Debit Card,2-Day Shipping,Yes,Yes,42,Venmo,Fortnightly,Bad
1058,65,Male,Jacket,Outerwear,23,Wisconsin,S,Maroon,Spring,4.400000095367432,No,Bank Transfer,2-Day Shipping,Yes,Yes,20,Credit Card,Weekly,Good
1059,29,Male,Scarf,Accessories,33,New Mexico,L,Violet,Summer,3.0999999046325684,No,Credit Card,Next Day Air,Yes,Yes,49,Bank Transfer,Every 3 Months,Bad
1061,27,Male,Sweater,Clothing,35,Iowa,S,Gray,Summer,2.5999999046325684,No,PayPal,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months,Bad
1062,36,Male,Coat,Outerwear,62,Idaho,M,Gray,Summer,4.400000095367432,No,Debit Card,Free Shipping,Yes,Yes,12,Venmo,Every 3 Months,Good
1063,59,Male,Boots,Footwear,75,Ohio,M,Brown,Fall,2.5999999046325684,No,Venmo,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months,Bad
1064,62,Male,Hoodie,Clothing,29,Alabama,S,Indigo,Summer,3.299999952316284,No,Bank Transfer,Free Shipping,Yes,Yes,35,Cash,Monthly,Good
1065,34,Male,Hat,Accessories,28,Wyoming,M,Violet,Spring,3.5,No,Debit Card,Express,Yes,Yes,42,Credit Card,Every 3 Months,Good
1066,59,Male,T-shirt,Clothing,20,Alabama,XL,Blue,Spring,4.099999904632568,No,Cash,Store Pickup,Yes,Yes,3,PayPal,Every 3 Months,Good
1067,49,Male,Coat,Outerwear,96,Mississippi,M,Red,Winter,4.0,No,Credit Card,Store Pickup,Yes,Yes,11,PayPal,Bi-Weekly,Good
1068,18,Male,Dress,Clothing,43,Pennsylvania,S,Peach,Summer,2.700000047683716,No,Venmo,2-Day Shipping,Yes,Yes,22,PayPal,Quarterly,Bad
1070,38,Male,Skirt,Clothing,81,Maryland,XL,White,Fall,4.300000190734863,No,Credit Card,Next Day Air,Yes,Yes,33,Venmo,Every 3 Months,Good
1071,50,Male,Jewelry,Accessories,75,North Carolina,M,Magenta,Summer,3.299999952316284,No,Venmo,Free Shipping,Yes,Yes,50,Debit Card,Weekly,Good
1072,61,Male,Hat,Accessories,81,Pennsylvania,M,Beige,Summer,2.5999999046325684,No,Cash,Express,Yes,Yes,46,Credit Card,Monthly,Bad
1073,48,Male,Shorts,Clothing,92,Idaho,L,Gold,Fall,3.5,No,Bank Transfer,Express,Yes,Yes,34,Debit Card,Fortnightly,Good
1074,22,Male,Scarf,Accessories,96,California,XL,Purple,Spring,4.0,No,Cash,Store Pickup,Yes,Yes,33,Credit Card,Monthly,Good
1075,48,Male,Jewelry,Accessories,71,Tennessee,S,White,Fall,2.5999999046325684,No,PayPal,Standard,Yes,Yes,45,Bank Transfer,Fortnightly,Bad
1076,57,Male,Sunglasses,Accessories,50,Missouri,L,Indigo,Summer,4.900000095367432,No,Debit Card,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly,Very_Good
1077,33,Male,Coat,Outerwear,72,North Dakota,L,Charcoal,Spring,2.9000000953674316,No,Bank Transfer,Standard,Yes,Yes,47,Venmo,Bi-Weekly,Bad
1078,58,Male,Jacket,Outerwear,28,West Virginia,M,Pink,Winter,3.700000047683716,No,Cash,Standard,Yes,Yes,5,PayPal,Quarterly,Good
1079,37,Male,Sweater,Clothing,59,Arizona,M,Silver,Fall,4.400000095367432,No,Cash,Express,Yes,Yes,49,Credit Card,Fortnightly,Good
1080,18,Male,Coat,Outerwear,33,Oklahoma,S,Blue,Summer,4.400000095367432,No,Bank Transfer,Free Shipping,Yes,Yes,48,Bank Transfer,Monthly,Good
1081,65,Male,Scarf,Accessories,59,Pennsylvania,L,Blue,Fall,3.799999952316284,No,Bank Transfer,Express,Yes,Yes,22,Cash,Every 3 Months,Good
1082,62,Male,Belt,Accessories,30,Idaho,XL,Brown,Spring,4.5,No,Cash,Standard,Yes,Yes,45,Credit Card,Annually,Very_Good
1083,54,Male,Hat,Accessories,85,South Carolina,XL,Cyan,Winter,2.5999999046325684,No,PayPal,Next Day Air,Yes,Yes,30,Venmo,Quarterly,Bad
1084,35,Male,Backpack,Accessories,97,Washington,L,Teal,Summer,3.299999952316284,No,Credit Card,Store Pickup,Yes,Yes,43,Cash,Weekly,Good
1085,34,Male,T-shirt,Clothing,36,Arkansas,S,Purple,Fall,4.099999904632568,No,Credit Card,Next Day Air,Yes,Yes,48,Cash,Quarterly,Good
1086,25,Male,Jewelry,Accessories,85,Utah,M,Turquoise,Winter,3.0,No,PayPal,Store Pickup,Yes,Yes,23,Venmo,Fortnightly,Bad
1087,53,Male,Sunglasses,Accessories,62,Alaska,M,Olive,Winter,3.0,No,PayPal,Free Shipping,Yes,Yes,27,PayPal,Bi-Weekly,Bad
1088,45,Male,Jeans,Clothing,71,West Virginia,S,White,Winter,3.4000000953674316,No,PayPal,Next Day Air,Yes,Yes,7,Bank Transfer,Monthly,Good
1089,49,Male,Pants,Clothing,21,Louisiana,M,Turquoise,Winter,2.700000047683716,No,Bank Transfer,Free Shipping,Yes,Yes,2,PayPal,Weekly,Bad
1090,40,Male,Backpack,Accessories,61,Arizona,M,Silver,Spring,3.799999952316284,No,Debit Card,Next Day Air,Yes,Yes,33,PayPal,Bi-Weekly,Good
1091,38,Male,Scarf,Accessories,58,Connecticut,M,Violet,Spring,4.199999809265137,No,Bank Transfer,Store Pickup,Yes,Yes,27,Cash,Fortnightly,Good
1092,44,Male,Sweater,Clothing,80,North Carolina,L,Lavender,Spring,4.699999809265137,No,Cash,Store Pickup,Yes,Yes,6,Credit Card,Fortnightly,Very_Good
1093,68,Male,Jewelry,Accessories,50,South Dakota,L,Magenta,Spring,4.099999904632568,No,Credit Card,2-Day Shipping,Yes,Yes,20,Venmo,Quarterly,Good
1094,60,Male,Sneakers,Footwear,48,Delaware,S,Indigo,Winter,4.199999809265137,No,PayPal,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months,Good
1095,25,Male,Jewelry,Accessories,40,Connecticut,M,Black,Winter,4.800000190734863,No,Credit Card,Next Day Air,Yes,Yes,25,Cash,Quarterly,Very_Good
1096,19,Male,Coat,Outerwear,34,Tennessee,S,Peach,Summer,3.0,No,Debit Card,Free Shipping,Yes,Yes,30,Bank Transfer,Quarterly,Bad
1097,57,Male,Coat,Outerwear,46,New Hampshire,S,Beige,Fall,2.5999999046325684,No,Credit Card,Standard,Yes,Yes,48,Credit Card,Annually,Bad
1098,58,Male,Sunglasses,Accessories,27,Vermont,M,Black,Summer,3.200000047683716,No,Venmo,Store Pickup,Yes,Yes,47,Bank Transfer,Weekly,Good
1099,49,Male,Handbag,Accessories,98,Idaho,S,Turquoise,Spring,3.5999999046325684,No,PayPal,Next Day Air,Yes,Yes,27,Credit Card,Weekly,Good
1100,19,Male,Sweater,Clothing,73,North Carolina,M,Peach,Fall,2.5999999046325684,No,Cash,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly,Bad
1101,50,Male,Pants,Clothing,28,Nevada,L,Gold,Spring,4.400000095367432,No,Debit Card,Express,Yes,Yes,2,Credit Card,Weekly,Good
1102,30,Male,Gloves,Accessories,76,Delaware,XL,Silver,Fall,3.0,No,Cash,Free Shipping,Yes,Yes,39,Cash,Fortnightly,Bad
1103,52,Male,Sweater,Clothing,83,Texas,M,Peach,Fall,2.9000000953674316,No,Credit Card,Express,Yes,Yes,24,Cash,Fortnightly,Bad
1104,35,Male,Hoodie,Clothing,23,Tennessee,S,Charcoal,Spring,4.300000190734863,No,Debit Card,Free Shipping,Yes,Yes,8,Debit Card,Bi-Weekly,Good
1105,35,Male,Hat,Accessories,28,Delaware,M,Beige,Fall,3.0999999046325684,No,Bank Transfer,Express,Yes,Yes,8,Bank Transfer,Quarterly,Bad
1106,33,Male,T-shirt,Clothing,83,Massachusetts,S,Olive,Spring,3.0,No,Credit Card,Next Day Air,Yes,Yes,6,Venmo,Every 3 Months,Bad
1107,52,Male,Skirt,Clothing,96,Minnesota,L,Violet,Winter,3.5999999046325684,No,Credit Card,Store Pickup,Yes,Yes,12,Venmo,Fortnightly,Good
1108,69,Male,Sneakers,Footwear,62,Texas,M,Peach,Fall,2.799999952316284,No,Venmo,Store Pickup,Yes,Yes,26,Bank Transfer,Weekly,Bad
1109,27,Male,Shorts,Clothing,25,Nebraska,M,Teal,Fall,2.799999952316284,No,Venmo,Standard,Yes,Yes,50,Cash,Fortnightly,Bad
1110,66,Male,Hoodie,Clothing,97,Oklahoma,L,Violet,Winter,4.900000095367432,No,Debit Card,Next Day Air,Yes,Yes,2,Venmo,Weekly,Very_Good
1111,28,Male,Hoodie,Clothing,61,Texas,L,Cyan,Fall,3.0,No,Debit Card,Standard,Yes,Yes,31,Cash,Bi-Weekly,Bad
1112,22,Male,Shoes,Footwear,66,New York,S,Olive,Summer,4.099999904632568,No,Bank Transfer,Next Day Air,Yes,Yes,4,Credit Card,Bi-Weekly,Good
1113,69,Male,Hoodie,Clothing,67,Washington,XL,Pink,Spring,4.599999904632568,No,Credit Card,Free Shipping,Yes,Yes,32,PayPal,Quarterly,Very_Good
1114,28,Male,Sunglasses,Accessories,80,Maryland,M,Purple,Summer,4.800000190734863,No,Cash,Next Day Air,Yes,Yes,11,PayPal,Bi-Weekly,Very_Good
1115,55,Male,Skirt,Clothing,25,New Hampshire,L,Violet,Fall,2.5999999046325684,No,Cash,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months,Bad
1116,30,Male,Hat,Accessories,58,New York,S,Peach,Fall,4.0,No,Bank Transfer,2-Day Shipping,Yes,Yes,37,Cash,Weekly,Good
1117,67,Male,Backpack,Accessories,96,Hawaii,M,Charcoal,Winter,4.199999809265137,No,Venmo,Express,Yes,Yes,39,PayPal,Fortnightly,Good
1118,25,Male,Sunglasses,Accessories,77,California,L,Lavender,Spring,4.5,No,PayPal,Store Pickup,Yes,Yes,24,Credit Card,Monthly,Very_Good
1119,49,Male,Belt,Accessories,65,Indiana,M,Purple,Summer,4.900000095367432,No,Debit Card,Standard,Yes,Yes,11,PayPal,Every 3 Months,Very_Good
1120,34,Male,Jewelry,Accessories,36,Louisiana,M,Indigo,Spring,3.0999999046325684,No,Venmo,Standard,Yes,Yes,36,Credit Card,Weekly,Bad
1121,22,Male,Sneakers,Footwear,84,Pennsylvania,M,Magenta,Winter,4.0,No,Venmo,Next Day Air,Yes,Yes,40,Debit Card,Monthly,Good
1122,63,Male,T-shirt,Clothing,58,Florida,XL,Peach,Fall,3.200000047683716,No,Cash,Express,Yes,Yes,25,Cash,Quarterly,Good
1123,70,Male,Handbag,Accessories,62,North Carolina,S,Charcoal,Spring,4.300000190734863,No,PayPal,2-Day Shipping,Yes,Yes,12,Credit Card,Annually,Good
1125,42,Male,Sweater,Clothing,20,Iowa,M,Orange,Spring,4.900000095367432,No,Debit Card,Express,Yes,Yes,40,Cash,Quarterly,Very_Good
1126,27,Male,Sandals,Footwear,90,North Dakota,M,Lavender,Summer,2.700000047683716,No,Debit Card,2-Day Shipping,Yes,Yes,10,Bank Transfer,Weekly,Bad
1127,23,Male,Scarf,Accessories,58,Iowa,L,Beige,Winter,3.4000000953674316,No,Venmo,Standard,Yes,Yes,47,Venmo,Fortnightly,Good
1128,50,Male,Shirt,Clothing,53,Delaware,XL,Maroon,Spring,4.800000190734863,No,Venmo,Store Pickup,Yes,Yes,22,Debit Card,Monthly,Very_Good
1129,56,Male,Gloves,Accessories,30,New York,L,Charcoal,Winter,4.699999809265137,No,PayPal,Next Day Air,Yes,Yes,35,Debit Card,Monthly,Very_Good
1130,37,Male,Hoodie,Clothing,65,New Hampshire,XL,White,Winter,4.699999809265137,No,Credit Card,Express,Yes,Yes,46,Venmo,Fortnightly,Very_Good
1131,67,Male,Jewelry,Accessories,41,Kentucky,M,Lavender,Summer,3.9000000953674316,No,Cash,Standard,Yes,Yes,30,PayPal,Bi-Weekly,Good
1132,67,Male,Shirt,Clothing,73,Illinois,M,Black,Spring,3.700000047683716,No,Credit Card,Express,Yes,Yes,20,Bank Transfer,Monthly,Good
1133,50,Male,Hoodie,Clothing,98,North Carolina,S,Teal,Spring,4.300000190734863,No,PayPal,Store Pickup,Yes,Yes,25,Cash,Fortnightly,Good
1134,36,Male,Shoes,Footwear,36,Connecticut,XL,Magenta,Winter,4.099999904632568,No,PayPal,2-Day Shipping,Yes,Yes,29,Cash,Weekly,Good
1135,62,Male,T-shirt,Clothing,81,Wisconsin,M,Brown,Summer,4.599999904632568,No,Bank Transfer,Express,Yes,Yes,2,Venmo,Every 3 Months,Very_Good
1136,65,Male,Skirt,Clothing,90,Massachusetts,L,Peach,Winter,3.5999999046325684,No,PayPal,2-Day Shipping,Yes,Yes,32,Bank Transfer,Quarterly,Good
1137,23,Male,Handbag,Accessories,83,Illinois,S,Cyan,Summer,4.800000190734863,No,Debit Card,Free Shipping,Yes,Yes,37,Cash,Monthly,Very_Good
1138,46,Male,Shirt,Clothing,91,New Mexico,XL,Pink,Winter,2.799999952316284,No,Credit Card,2-Day Shipping,Yes,Yes,16,Bank Transfer,Every 3 Months,Bad
1139,18,Male,Pants,Clothing,36,Iowa,M,Purple,Summer,4.699999809265137,No,Venmo,Express,Yes,Yes,32,Venmo,Fortnightly,Very_Good
1140,58,Male,Coat,Outerwear,53,Alabama,L,Purple,Spring,3.9000000953674316,No,PayPal,Standard,Yes,Yes,42,Debit Card,Bi-Weekly,Good
1141,31,Male,Jeans,Clothing,39,Maryland,M,White,Winter,2.5999999046325684,No,Cash,Store Pickup,Yes,Yes,6,Credit Card,Every 3 Months,Bad
1142,39,Male,Gloves,Accessories,33,Ohio,S,Silver,Winter,4.699999809265137,No,Debit Card,Next Day Air,Yes,Yes,23,PayPal,Fortnightly,Very_Good
1143,69,Male,T-shirt,Clothing,76,Ohio,L,Green,Spring,3.5,No,Cash,Store Pickup,Yes,Yes,27,Venmo,Bi-Weekly,Good
1144,68,Male,Boots,Footwear,23,Nevada,L,Teal,Winter,4.400000095367432,No,Cash,Standard,Yes,Yes,43,PayPal,Quarterly,Good
1145,41,Male,Jeans,Clothing,54,South Carolina,S,Indigo,Fall,4.400000095367432,No,PayPal,2-Day Shipping,Yes,Yes,25,Bank Transfer,Fortnightly,Good
1146,31,Male,Sneakers,Footwear,89,Nevada,L,Pink,Summer,3.0,No,Venmo,Express,Yes,Yes,30,Cash,Every 3 Months,Bad
1147,48,Male,Sneakers,Footwear,38,Wisconsin,M,Indigo,Summer,4.199999809265137,No,Debit Card,Standard,Yes,Yes,7,Bank Transfer,Every 3 Months,Good
1148,59,Male,Hat,Accessories,36,Tennessee,XL,Red,Winter,4.300000190734863,No,PayPal,Next Day Air,Yes,Yes,17,Debit Card,Annually,Good
1149,34,Male,Pants,Clothing,66,Florida,M,Violet,Spring,2.5999999046325684,No,Bank Transfer,Store Pickup,Yes,Yes,10,PayPal,Fortnightly,Bad
1150,21,Male,Jewelry,Accessories,42,Georgia,L,Cyan,Spring,3.299999952316284,No,Cash,Store Pickup,Yes,Yes,40,Venmo,Annually,Good
